"Name,","Age,","Contact,","Course,","Email,","Password,","College_Name,",College_Address
John,20,7878787878,B.Tech,smithJohn12@gmail.com,smithJOHN122,Acro,Indore
Name,Age,Contact,Course,"Email,",Password,College_Name,College_Address
Annie,20,8989898989,MCA,annie233@gmail.com,annIE123,Acro,Indore
Name,Age,Contact,Course,Email,Password,College_Name,College_Address
Name,Age,Contact,Course,Email,Password,College_Name,College_Address
Jack,20,7676564534,Mtech,jillJack@gmail.com,jillJack123,Acro,Indore
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
1,Michael,19,8989675645,B.Com,michael12@gmail.com,michaelIAM122,Acro,Indore
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
1,ria,20,7878787878,btech,iamJia@gmail.com,jiaIAM1233,Pune Univ. ,Pune
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
1,Nia,20,8989675645,Btech,jiavjk@gmail.com,jiaIM1223,Mumbai Univ.,Mumbai
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
1,Sta,19,7878674656,btech,sitaIAM@gmail.com,sitaIM123,acropolis,indore
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
1,sita,20,7878564534,btech,sitaIM12@gmail.com,sitaIM123,fhg,ffhgjn
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
1,priya,20,7897456567,btech,ghjmghknk@gmail.com,fghkjAAA123,hjn,fyjkkjk
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
19,jannie,20,7878657456,btech,jannieIm@gmail.com,jannieIM123,acro ,indore
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
19,jannie,20,7878657456,btech,jannieIm@gmail.com,jannieIM123,acro ,indore
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
23,seema,20,7878675645,MBA,seemaIm@gmail.com,seemaIM123,acro ,indore
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
25,smith,19,8989675645,BA,smithIM@gmail.com,smithWSS1233,acro,indore
Id,Name,Age,Contact,Course,Email,Password,College_Name,College_Address
25,smith,19,8989675645,BA,smithIM@gmail.com,smithWSS1233,acro,indore
